Product_id,Category,Product Title,Product Description,Brand,Pack Size Or Quantity,Mrp,Price,Offers,Stock Availibility,Image Urls
11,Bath & Shower, RazoRock 60g Alum Stick ,"RazoRock Alum Block is a natural antiseptic and should be used post shave for a calming and healing effect on the skin. Originating from naturally occurring potassium alum mineral salts, this block will help to stem bleeding from any nicks or scrapes that have occurred during shaving, closing skin pores and leaving your skin smooth and taut. This product contains only natural ingredients and is fragrance free and hypoallergenic, making it ideal for sensitive skin types. It is also non-staining, contains no alcohol or parabens and will leave your skin free from any greasy residues",RazoRock,68 g,9018,2807,68.87%,TRUE,https://images-na.ssl-images-amazon.com/images/I/71UQjByfQqL._SL1001_.jpg
12,Bath & Shower," 2.8 Ounce (Pack of 2) : Herban Cowboy Mountain Natural Deodorant, Maximum Protection, 2.8 Ounce (Pack of 2) ","Natural for Her by Herban Cowboy deodorants are available in two great essential oil fragrances, Blossom and Powder.These long-lasting, maximum strength deodorants, are free of parabens, propylene glycol, aluminum and triclosan. Perfect all day, healthy protection designed just for women. 100% vegan. 100% US made. At Herban Cowboy we believe your skin deserves as much care and attention as any other organ. Vegan ingredients and recyclable packaging are the basis of our commitment to human and environmental health.",Herban Cowboy's,159 g,4499,3686,18.07%,TRUE,https://images-na.ssl-images-amazon.com/images/I/41i7Os42DUL.jpg
13,Bath & Shower, VANAM Handmade Herbal Nutmeg Bath Soap_Sandal_Set of 3 ,"Vanam Brand presents Vanam herbal bath soaps,it is used for both dry and oil skin,it gives natural glow.",VANAM,NA,399,165,58.65%,TRUE,https://images-na.ssl-images-amazon.com/images/I/71visNfzmTL._SL1500_.jpg
14,Bath & Shower," iwill Premium My Swag, White Musk, Heart Beat, Friendzip Fancy Attar 32 ml Pack ","All the perfumes are 100% Original and long lasting. These are creative mix of floral and fruity ingredients, and a soft confluence of contrasting notes. These are well balanced fragrance with excellent sillage and longevity. These unique fragrances keeps you refresh all day long. After wearing these fragrances makes an impression without words. Pamper yourself and near and dear ones with this exclusive fragrances on special occassions. Fragrance comes in a classy transparent bottle with a roll on applicator.",iwill,NA,500,499,NA,TRUE,https://images-na.ssl-images-amazon.com/images/I/71PikaUxCjL._SL1279_.jpg
15,"Chips,Namkeen & Snacks","Saffola Masala Oats Lemony Twist  (39 g, Pouch)","You want to be healthy; you’re always short of time; you don’t want to compromise on taste - find the sweet spot between all these struggles with this packet of Saffola masala oats. Made from 100% natural whole grain oats and veggies, this packet of Saffola masala oats is healthy and tasty as well. The best part is, it hardly takes any time to prepare it. Just 3 Minutes Even with a hectic schedule, you can always squeeze in 3 minutes to prepare yourself a yummy bowl of oats. Nutritious Full of protein and fiber, oats keep you satiated for a long period and help you manage your weight. Less Fat According to a study, this product contains up to 70% less fat when compared to instant noodles.",Saffola,39 g Pouch,15,15,Bank Offer 10% Cashback* on HDFC Bank Debit Cards T&C | Bank Offer 5% Unlimited Cashback on Flipkart Axis Bank Credit Card T&C | Bank Offer Extra 5% off* with Axis Bank Buzz Credit Card T&C | No Cost EMI on Flipkart Axis Bank Credit Card T&C,TRUE,https://rukminim1.flixcart.com/image/832/832/jlfh6kw0/cereal-flake/m/j/r/39-masala-oats-lemony-twist-pouch-saffola-original-imaf8kygb2t9u6vw.jpeg?q=70
16,"Chips,Namkeen & Snacks",Mo'plleez Aloo Bhujia  (1 kg),,Mo'plleez,1 kg,260,260,Bank Offer 10% Cashback* on HDFC Bank Debit Cards T&C | Bank Offer 5% Unlimited Cashback on Flipkart Axis Bank Credit Card T&C | Bank Offer Extra 5% off* with Axis Bank Buzz Credit Card T&C | No Cost EMI on Flipkart Axis Bank Credit Card T&C,TRUE,https://rukminim1.flixcart.com/image/832/832/k16qzrk0/snack-savourie/8/x/g/1000-aloo-bhujia-pouch-mopleez-original-imafktpkp4crbcvt.jpeg?q=70
17,"Chips,Namkeen & Snacks",Daadi's Methi Bhakhri  (180 g),,Daadi's,180 g,70,68,Bank Offer 10% Cashback* on HDFC Bank Debit Cards T&C | Bank Offer 5% Unlimited Cashback on Flipkart Axis Bank Credit Card T&C | Bank Offer Extra 5% off* with Axis Bank Buzz Credit Card T&C | No Cost EMI on Flipkart Axis Bank Credit Card T&C,TRUE,https://rukminim1.flixcart.com/image/832/832/jyafukw0/snack-savourie/c/y/r/180-bhakhri-methi-box-daadis-original-imafgjmgqcfuzrgp.jpeg?q=70
18,"Chips,Namkeen & Snacks",Tong Garden Wasabi Coated Green Peas  (90 g),,Tong Garden,90 g,60,58,Bank Offer 10% Cashback* on HDFC Bank Debit Cards T&C | Bank Offer 5% Unlimited Cashback on Flipkart Axis Bank Credit Card T&C | Bank Offer Extra 5% off* with Axis Bank Buzz Credit Card T&C | No Cost EMI on Flipkart Axis Bank Credit Card T&C,TRUE,https://rukminim1.flixcart.com/image/832/832/jdoubgw0/snack-savourie/8/x/z/90-wasabi-green-peas-tong-garden-original-imaf2jmhmffhftpt.jpeg?q=70
19,Chocolates & Biscuits,"Honeydukes Sugar Free - Assorted Dragees, 200 g ","About|Honeydukes sugarfree Dragees assortment sugar-free assorted Dragees are the perfect choco gift for all occasions. Dragees are a popular confectionery with a hard outer shell that can be chewed. Dragees are ideal for holidays, festive season and sometimes for no particular occasion. Being Sugar-Free, it is ideal for all the fitness seekers, diabetics and weight conscious. It helps you control your calorie intake and keep fit.|Ingredients|Cocoa Solids, Hydrogenated Palm Kernel Oil, Maltitol (965), Roasted Almond, Roasted Cashew, Roasted Hazel Nut, Strawberry, Pineapple, Cherry, Raisins, Emulsifier (INS 322), Salt, Contains Added Nature Identical Flavouring (Vanillin), (Polyols may have laxative effects).|Other Product Info|EAN Code: 8906017971727  FSSAI Number: 11214332000424  Manufactured & Marketed by: United India Interlinks, 005, 1St Block, Plot No-488, Vitc Export Bhavan, Kiadb Complex, 14th Cross, Peenya, Bengaluru, Karnataka, 560058  Best before 28-01-2020  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034 | Email: customerservice@bigbasket.com|How to Use|Store in a cool, dry and hygienic place (Below 25 Degree Celsius). It is best consumed at room temperature.",Honeydukes,200 g ,400,400,NA,TRUE,https://www.bigbasket.com/media/uploads/p/l/40141324_1-honeydukes-sugar-free-assorted-dragees.jpg
20,Chocolates & Biscuits,"Tree Of Life Grand Gift Basket, 400 g ","About the Product|This reusable gift basket contains 2 Good-Day Cookies, 1 Hide & Seek, 1 peanut pack, 1 chikki, 1 pouch containing 10 assorted chocolates, 35 gm bars of 2 milk and 2 coffee. Share the joy this festive season by gifting your loved ones with these delicious delights. Make each moment sweet and memorable just like this gift box full of happiness..This reusable gift basket contains 2 Good-Day Cookies, 1 Hide & Seek, 1 peanut pack, 1 chikki, 1 pouch containing 10 assorted chocolates, 35 gm bars of 2 milk and 2 coffee. Share the joy this festive season by gifting your loved ones with these delicious delights. Make each moment sweet and memorable just like this gift box full of happiness.|Ingredients|AlmondCoffeeSugarCocoaHydrogenated Vegetable OilNutsMilk SolidsEmulsifier Allergen Info - Contains Soy|Other Product Info|Other Product Info  EAN Code: 8720356600338  FSSAI Number: 21215188000021  Manufactured & Marketed by: Healthy Cakes and Foods 18, 17/1,Ambalipura, Sarjapur Road, bangalore  Best before 27-10-2019  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034.|How to Use|It is ideal for gifting on occasions like anniversaries and birthday celebrations..It is ideal for gifting on occasions like anniversaries and birthday celebrations.",Tree Of Life,400 g ,899,899,NA,FALSE,https://www.bigbasket.com/media/uploads/p/l/40155835_1-tree-of-life-grand-gift-basket.jpg
21,Chocolates & Biscuits,"Lindberg Butterscotch Barks - Snacking chocolate, 75 g ","About|Lindberg brings to you the best of all worlds with our premium Butterscotch Barks. These scrumptious morsels of luxury are perfect for gifting and celebrating, as party knick-knacks or simply treating yourself to some sweet indulgence|Ingredients|Milk Chocolate (Cocoa Mass, Sugar, Coco Butter, Milk Solids, Emulsifier-Soya Lecithin), Dark Chocolate (Cocoa Mass, Sugar, Coco Butter, Emulsifier - Soya Lecithin), Butterscotch (Sugar, Butter, Cashew)|How to Use|Place on a protected, heat-resistant level surface with approved container away from flammable items & heat sources. Burn the candle within sight and avoid drafts. Trim wick to 5 mm between users. Keep wick trimmings clear from the wax pool. Do not burn candle more than 4 hours at a time. The container might become hot, handle with care. Extinguish a candle if it smokes, flickers repeatedly or if it becomes too high. Lead-free wick is used.|Other Product Info|EAN Code: &&-EAN-&&  FSSAI Number:  Manufacturer Name and Address: Bliss Chocolates India Pvt Ltd No, 21, 1st Main Road M. E. S Colony, Konena Agrahara, Bangalore-560017  Marketed by: Supermarket Grocery supplies PVt Ltd #7/1, 1st Floor (above Lakme Saloon), 1st Main, Domlur 2nd stage, off 100 feet Road, Indiranagar, Bangalore-560071  Best Before &&-PSL-&& days from the date of delivery  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034 | Email: customerservice@bigbasket.com",Lindberg,75 g ,169,129,24%,TRUE,https://www.bigbasket.com/media/uploads/p/l/40142551_4-lindberg-butterscotch-barks-snacking-chocolate.jpg
22,Chocolates & Biscuits,"The Belgian Pralines Assortment, 200 g Carton ","About|Perfect For Gifting And Alcohol Free, No Preservatives, No Colorants|Ingredients|Sugar Cocoa Butter Whole Milk Powder Cocoa Mass Vegetable Fats (Palm Kemel And Palm) Hazelnuts Almond Anhydrous Milk Fat Emulsiher Soya Lecithin Ground Coffee Pisachios Flavours Food Colouring Paprika Extract Milk Chocolate Cocoa Solids 33% Minimum Milk Solids 18% Minimum White Chocolate Cocoa Solids 28% Minimum Milk Solids 21% Minimum Chocolate Cocoa Solids 54% Minimum May Contain Traces Of Gluten Fr|Other Product Info|EAN Code: 541321350223  Manufactured by: The Belgian Chocolate Group nv, Geelseweg 72. 2250 Olen. Belgium Marketed by: Cosmo Fine Foods Pvt. Ltd., 9 Jagannathan Road, ""ABC Springfield Apartments"", Gound Floor, Nungambakkam, Chennai 60034 Country of Origin: Belgium  Best before 12-06-2020  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034 | Email: customerservice@bigbasket.com",The Belgian,200 g ,750,750,NA,FALSE,https://www.bigbasket.com/media/uploads/p/l/70000877_1-the-belgian-pralines-assortment.jpg
23,Chocolates & Biscuits,"Crishleys Toffees - Caramel, Fruito Fresh Juicy, 600 g ","About|These smooth caramel candies are infused with the taste of buttery English toffee that is dipped in premium milk chocolate. It is made using real sugar and farm-fresh dairy,  making it a rich, delicious treat to relish when you crave sweet.|Ingredients|Liquid Glucose Sugar, Whole Milk Powder, Hydrogenated Vegetable Oils, Iodized Salt, Soya Lecithins Emulsifying Agent.|Other Product Info|EAN Code: 40123404  Manufacturer Name & Address: C. G INCORPORATION 2, Kohinoor Estate, Vahelal Road, Zak Gidc. , Dist. Gandhi Nagar-382305, GUJARAT- INDIA  Best to use for 28-01-2020  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034 | Email: customerservice@bigbasket.com",Crishleys,600 g ,275,275,NA,FALSE,https://www.bigbasket.com/media/uploads/p/l/40123404_1-crishleys-toffees-caramel-fruito-fresh-juicy.jpg
24,Chocolates & Biscuits,"Tiffany Digestive - Natural Wheat Biscuits, 520 g ","About|A Source of daily fibre|About|Source of fibre, Goodness of wheat, no trans fat.|About|Ingredients: Wheat flour, Hydrogenated Vegetable shortening (palm oil), Sugar, Wheat Bran, Invert sugar syrup, raising Agents: Sodium Bicarbonate (E 500), Ammonium Bicarbonate (E503): Skimmed milk powder (Cow's milk), Salt, Tartanic Acid (E334), Matric Acid (E296). Vegetable Emulsifier. Soya Lecithin (E322).|Other Product Info|EAN Code: 285568  Manufactured by: Seville Products Limited, Community 364, Street 5B, AL Quoz, P.O.Box:54176, Dubai, UAE. Marketed by: Dugar Overseas Pvt.Ltd. D- 64, 2nd floor, Chattarpur Enclave New Delhi - 110074 Country of Origin: UAE  Best before 27-04-2020  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Supermarket Grocery Supplies Pvt Ltd. No7, Service Road, Domlur 100 Feet Road, Indiranagar, Bangalore 560071. | Email: customerservice@bigbasket.com",Tiffany,520 g ,190,190,NA,TRUE,https://www.bigbasket.com/media/uploads/p/l/285568_6-tiffany-digestive-natural-wheat-biscuits.jpg
25,Chocolates & Biscuits,"Loacker Wafers - Classic, Napolitaner, 45 g ","About|Loacker Classic Wafers are an old favourite wafer which has been extraordinarily popular since 1925. This snack is made of three layers of light and crispy wafers sandwiched with smooth hazelnut cream, a combination that is second to none. They are perfect for school, office, as an on-the-go snack, or as a sweet afternoon delight.|Ingredients|Wheat Flour, Coconut oil, glucose syrup, hazelnut 9% in the cream filling, whey powder (milk), soy flour, skimmed milk powder, fat reduced cocoa, dextrose, barely malt extract, raising agent (sodium hydrogen carbonate, disodium disphosphate), salt, emulsifier soy lecithins, Bourbon Vanilla pods, spices.|Other Product Info|EAN Code: 80001218  Manufacturer Name & Address: 1-39054 Unterinn - Auna di Sotto -BZ South Tyrol - Italy  Country of origin: Italy  Best to use for 28-04-2020  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034 | Email: customerservice@bigbasket.com",Loacker,45 g ,99,99,NA,FALSE,https://www.bigbasket.com/media/uploads/p/l/40123531_1-loacker-wafers-classic-napolitaner.jpg
26,Chocolates & Biscuits,"Honeydukes Seasons Greeting - Its Time To Celebrate, 250 g ","About|The Honey Duke Gift Tray contains 5 choco bars - Milky choco bar, Dark Choco Bar, White Choco Bar, Milky Coffee Bar, Milky Choco Bar with Dried Fruits & Nuts, White Choco Bar with dried fruits & nuts, milky choco bar. They are the perfect choco gift for all occasions. with Roasted Peanuts. Chocolate also has several health benefits due to its antioxidant properties. It can be eaten as a dessert, to celebrate the joys of life or just beat the blues. Share the joy of these chocolates with your loved ones. Eat it as a dessert or just grab a bite in between to beat the hunger pangs. Ideal for gifting children and adults alike.|Ingredients|Milk Powder, Vegetable Fat (Palm), Sugar, Salt, Cocoa Solids, Antioxidant (E 322), Emulsifiers (E 476 E 442), Contains Permitted Added Flavour (S), Roasted Coffee, Fruit & Nut, Roasted Peanut.|Other Product Info|EAN Code: 8906019715121  FSSAI Number: 11214332000424  Manufactured & Marketed by: United India Interlinks, 005, 1St Block, Plot No-488, Vitc Export Bhavan, Kiadb Complex, 14th Cross, Peenya, Bengaluru, Karnataka, 560058  Best before 28-01-2020  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034 | Email: customerservice@bigbasket.com|How to Use|Store in a cool, dry and hygienic place (Below 25 Degree Celsius). It is best consumed at room temperature.",Honeydukes,250 g ,275,275,NA,TRUE,https://www.bigbasket.com/media/uploads/p/l/40141305_1-honeydukes-seasons-greeting-its-time-to-celebrate.jpg
27,Chocolates & Sweets,Dizzle Calcutta Pan Mouth Freshener  (130 g),,Dizzle,130 g,116,107,Bank Offer 10% Cashback* on HDFC Bank Debit Cards T&C | Bank Offer 5% Unlimited Cashback on Flipkart Axis Bank Credit Card T&C | Bank Offer Extra 5% off* with Axis Bank Buzz Credit Card T&C | No Cost EMI on Flipkart Axis Bank Credit Card T&C,TRUE,https://rukminim1.flixcart.com/image/832/832/jmi22kw0/candy-mouth-freshener/8/a/g/130-calcutta-pan-dizzle-original-imaf9d5yyvzvhas6.jpeg?q=70
28,Chocolates & Sweets,LuvIt Chocwich White Home Pack Bars  (181.8 g),,LuvIt,181.8 g,110,110,Bank Offer 10% Cashback* on HDFC Bank Debit Cards T&C | Bank Offer 5% Unlimited Cashback on Flipkart Axis Bank Credit Card T&C | Bank Offer Extra 5% off* with Axis Bank Buzz Credit Card T&C | No Cost EMI on Flipkart Axis Bank Credit Card T&C,TRUE,https://rukminim1.flixcart.com/image/832/832/joynde80/chocolate/h/4/c/181-8-chocwich-white-home-pack-luvit-original-imafbazxtqvumpdy.jpeg?q=70
29,Chocolates & Sweets,Tic Tac Intenser Mint Candy  (15.5 g),,Tic Tac,15.5 g,20,20,Bank Offer 10% Cashback* on HDFC Bank Debit Cards T&C | Bank Offer 5% Unlimited Cashback on Flipkart Axis Bank Credit Card T&C | Bank Offer Extra 5% off* with Axis Bank Buzz Credit Card T&C | No Cost EMI on Flipkart Axis Bank Credit Card T&C,TRUE,https://rukminim1.flixcart.com/image/832/832/jyoq93k0/candy-mouth-freshener/y/e/z/15-5-intenser-tic-tac-original-imafgvz8ggspgtwz.jpeg?q=70
30,Chocolates & Sweets,Brookside Pomegranate Dark Chocolate Truffles  (100 g),,Brookside,100 g,140,126,Bank Offer 10% Cashback* on HDFC Bank Debit Cards T&C | Bank Offer 5% Unlimited Cashback on Flipkart Axis Bank Credit Card T&C | Bank Offer Extra 5% off* with Axis Bank Buzz Credit Card T&C | No Cost EMI on Flipkart Axis Bank Credit Card T&C,TRUE,https://rukminim1.flixcart.com/image/832/832/jhs0o7k0/chocolate/j/c/k/100-pomegranate-chocolate-brookside-original-imaf5pz26e7j9cft.jpeg?q=70
